0---C4C9H4H7CK;C3H6D3S9D8
117---S3S9H8H2CQ;C5C4H6SQD10
119---H3CQS2D9H10;DKH4D10D4C3
124---DJC10H5D6C8;CKD8H7H6S3
128---C5D3C8H4CJ;S10H5S5DASK
136---HQD4DAH9D2;S5S2CQD9CA
138---C10CJH6C6H4;DJS3S2HJH5
139---DAH10H5S7CK;CQS10C10C7H9
142---HQS5C10H10S10;D6C6D8HKCK
146---HKC4D5HQS4;CADQS8DAS6
147---H5D2CAC8S6;D5SJD8C7S9
149---HJD2SJDJD4;H5C7H7S8DQ
151---H10C10HJC2C9;H3DAC7C4D10
153---C5D3D6S10H8;HQD8HACKC8
154---S5C9H8H4D2;H7CQCASJD10
156---H7D2SKDAD4;HAD8D6C7S5
159---C4S3H2C5D2;C2C10D4SJS4
162---H7CQD9S9SQ;S2C3S6S8HK
163---C6S8SKHAD5;CKC9CJC10S10
164---S3C6CKH3C10;CJC3CQD8D4
165---C8DQH10DAC6;D7H4C2D5HA
166---H5S4S10C4C3;CQC9SQD6D3
168---C9C4S5D3H9;S9CAC10D7D8
173---S3D8HQS4CJ;C9D7D2S9C3
174---H9CQHAD7C4;HKD8C2S8C5
175---S4D8H7DKD4;C6D5C3D6S9
176---C3D10CQDQSJ;H8H10S7S5SQ
179---S4HAS3CJD5;H3SKDKC5CK
185---H3S10S2DAC4;C6C5DKD2S4
186---D6DAHQS6D2;C8HJD10DQC5
193---S2D9D6C6C7;H6HKC4D2DK
194---S9S3D9C9HQ;C3C10C5H3S4
198---CKD5S8S6HK;S2C8C6SQS9
199---H6C3SJC10D3;DAH8HQC4CA
200---D2D3S2DKS10;D7S9CQD8CA
203---S10HJD6H2D7;S7H4S9C5DQ
204---S3CAHQS5C10;D8S7HAD4DJ
205---S3DQHKS6S9;C8CAD3HAH10
206---C10C8S4S3HK;HAH7H4S10HQ
210---H9D7D10S5C4;D8C7H8H5C8
214---S6CQH4H5S2;S9D4C6S8D10
215---C2DQD7S2HQ;D3D2H7C5C4
217---D9H4HAH5C2;S7D10C6D7DQ
218---CKD3D8S3HK;D10SQC5C3DQ
221---H10H3S8H2D9;H6S10DKC10S7
226---DQCQH2HQCA;C10C4H3SJCK
228---C3DJHAC5H10;HQCKD10C6C4
230---HKH8S4HJH9;D4SQDQC6S10
234---C4H2SJHAD4;HKD9DAH4DK
237---C2DJS3C10C9;C6CQC7DQH4
240---H4HKC3H5S4;H2S7D5H6HA
241---D10S5S10DAD8;C8C10HKHJH3
248---D9S10C6H8DA;CJH4D8S6HK
249---DQS5C2C9D7;CKC8CJD4SK
250---H10S7CJHKSJ;D6HQC2D2S10
255---H5H10D6HQC2;S6S2C4D3S8
256---H5DQH7S4CQ;D2D4H3D3C5
261---H6D10CJD9C3;DKC5HAH4HQ
265---D10D9DQD5D7;H3H2S7S9DJ
274---SJS6H2SQHK;S9D7C3DASK
275---D8H3DJHQCA;D7SQS3CQH5
278---SQH4C8S7DK;D10HAS6DQS9
282---H8S6S2D5S4;C2SJH4C10HQ
283---CADAC6D2S10;C2S7S9C5CK
284---HQDJHAS3D9;C7HJH9C8S4
286---HQH10DAH2S3;HJDKD2H3S10
289---H9S2C4HAS9;DJH3S3SJDK
290---HAC4CQH9SK;D8D4CJHJH2
295---SJDAD3S5D8;C6C5HKH8H2
297---C2D9C5H5H8;C10DAS9C7SQ
300---H9S4H10D6H3;D4HAD5S9CJ
304---DJC8H6DKH3;HQH8S7CQDQ
308---C8SQSJH7S8;D7DQCJD10H6
309---H6S6S10C6CA;CKS9SJD7H2
310---HAD6C8C2D4;S5S2CKS10C7
312---DAS5CAHACQ;C10C3SJS6C9
314---C10D10D4C7H5;C9DKDAH10S7
317---H5CQH8H2C6;S7D9SJS6C5
324---D9S4C2SQS3;H4D10DJH10S2
325---SQS6C2H5C10;C9S9S2H4H9
326---H2H5C8HADA;C9S8D9DKC2
327---H8S10H3DKS2;C10DQS3CKHJ
330---CJS6CAS10HJ;D4C6DKC10D8
332---C5D10HKD6DJ;D8SKD9D5H2
335---D10H5HQC7H4;C5S5DQHJC10
336---C5CAC6CQD9;D3S3H8H7S5
338---C4H8CAH5CK;D9S9D7S8S5
339---H9H2S6H7D10;CJD9D7C5DK
340---CQHQH7S8D8;C10H9HJD7CK
341---HAS9S6D9S5;HQC4S3C3HK
343---H4S3CKC7H7;C6H10D6CAS9
344---DAC7S3S7S9;C9CKS8H5H10
345---DKHAD3D5SQ;CQS5H8D4HK
346---CAD9S3D6C6;H3S6S8DQC2
352---C5SJSQS5CJ;H8CAD9H2S10
353---S7S5D6S2S3;H2C9SJC4CA
355---CADQC4C2C10;H5H3CJH2D5
363---S4D5D9C4S3;S2D10HQC10CK
365---CQC9SQDJSJ;HKDAH10HQC8
366---CAC4HJHAH2;S10D2H7HQD4
368---S2C2D9HJH4;HKH3H10D7D5
370---H2D7SQH4D3;S5H7HQDKH8
372---CAH4S4C4D9;DQSJC6H10S7
383---H7H3HAD6S8;DKSJD7DAD10
385---D3C2D10HKD4;H6C10S4C6C5
386---C2DAHKD4DJ;C8D10H6HQDQ
387---S10S2C7C4H3;H6S7H4H9D4
390---D6C7H6CACK;DKS7H2H9D7
391---H3CQCKS4C7;H9H6HJDJD10
392---CJSJH8SQD9;D6C4H10S7H3
393---S4SKC8HKS5;H7C2D6CJHJ
396---DJD5H9H4D6;CKS7H7S9DA
397---H6HASJSKC5;H7C2S9DAD10
401---HJSKC10H7D10;C9DQH8S8S3
404---D3CADAD4H6;DQSQD6S10SJ
406---DASJH4H10D8;D6H5HQCAS6
408---S2C5CKH4HK;CQC7DKS8S5
412---H8C6DJCQD5;SQS10CJC2D6
413---H8D9C8H5HK;S9S2C10D5C3
416---C10HAC8S8CQ;H10H2S4SQD5
417---CJS9D3C9S4;S3S8H6S6C10
419---S4DQCJD7HQ;C4S10DAD10C5
427---S7DJH10CAH5;D10H7S10C4DQ
430---DJHJD2D9S2;D4C7HKC9D8
432---CJH7C2S5S7;D2CKH2D4S6
435---S9CJH4D10HQ;H2S8CADAD6
438---H7S7CQC10D8;DJS10CJS3DQ
441---HJS6CKS5C3;D9HAC8D5S10
444---D6H7C10S8HQ;D8D7SQHKS4
445---H7HAC8CJD4;S8S6HJH2D9
446---D3H5S3C9D9;S9D2D10CJS5
448---DJS8C6SQS7;C3C2S4D7HJ
450---H10D7CKCAH8;CQH2D10C8HJ
451---C2D9D3S7S4;S3H5CKS5H6
456---H5H6SQD2C10;CKCQD3HJD4
457---H7CKH6HJC2;S9S5HKH3S4
458---DQH4D9S5S8;D3D4C9H3DA
461---HQC6D4H5CK;D5CAD3HAH8
462---D6S2H7S9H6;D2S3CQSQS5
466---HACAH2CKHK;SKH3S10DQH6
469---S2S8S3S10C9;HKC7D3D8D6
470---C7H7DKCQC9;C2HAC3H5HJ
479---C10C3S4CAD10;H8D2D3HAC9
480---DAD5S7CJSQ;SKC4H4C7HQ
485---D7DAC6H7S4;H2C3C2D5D4
489---DKDAS2H5SQ;C10D4H4C7D2
493---D6H4DAC4H7;DKSQH3S10CQ
495---HQC2DKDJS9;H6H4SKC3CA
498---H3H2S8DJHA;C2CKH4D10S10
507---D6DAC7S9D8;SJH10S5S7H9
509---SJH3S3DQC8;S2CJC3H5S9
515---H4C10CQHAH3;H5DJD6H9D3
516---DAS7CAHAH6;H4C3C5D5SJ
518---D7H9C5C3H3;S6H7H4C2HK
519---H6CJCAC3D4;C6SJC10H9DQ
526---CJDQDJD7SJ;C2H7CAD4H6
532---H9SJC7S4D6;C4H10S6DKS7
534---H3C10D2D10HA;D5C3SJS5DA
539---D9D3C9HAC7;H3H6D10HKC4
543---H8HQH9DQS6;D3C4S8C10S9
545---D3H8C9HJDA;SQS6H7C8D7
547---DKC7S4C6HQ;D3S6H2H8H10
550---C3S6H9CKD3;C10CQD10S7D2
556---C3C6CJH9C2;D5DACAHAS4
557---HQH9S4H3SJ;D4C7S3D2DJ
559---C10S6DKH7H2;D7H6S7H4C5
561---S6CQS7C10CK;S10D2D8SKH10
565---DQD7H2S2S6;CKHJH5C6H9
566---C5HAC6D8DQ;S2H6SKS3H5
572---DAD4C7DQDK;CJDJD7S8D9
573---H9D5H5H2SJ;DAS2C6D7HJ
574---SKH6D4C10S7;C5S9HQCJD5
578---C4SQD3C2S9;CJH9SKHKD7
579---SJH5DAC7H7;C8CAC9SQC10
581---H8D8CQS2C6;S9D10DKCJSQ
584---H6C3C10C9S10;D7H5D9D6H10
587---H3S7S6DJC9;D8D9S5D7CK
591---SJD6HQC5D2;S2S8H6C3C6
601---S5C3C4D2HA;C9S8D6S3DJ
603---C2H9DAD2SQ;H5D8D7S8SJ
607---H5S3S2HADK;C10D5D10SJC7
609---CQSQH4S9H5;D7C4C6DQD3
618---H10S4D6DQD2;D3SJD4HKSQ
623---S10CJDACAD5;SQS7H8C3S8
624---D3S4CKCASK;D7S10D4H6C9
626---C5D9H6S4S9;DQD2D5HJCJ
628---DAC4S2CKS10;H8D2CJC2H2
633---H5C9HJD10D8;HKC3DJC7H9
634---H10C9H6CJC5;HKSKHAC6D3
635---D3S8DAHAS4;C5D2S5C9D9
639---SQH7S9C7S2;C2S3C8DKDA
641---S8C8H7SQC9;C10S10S4D5D3
648---S10C6H6D10S2;SKC7D8C4C5
650---S5H6CQH10DJ;HQC10C6D8S10
651---C8D6S8H2S3;SKDAS10HQC6
658---H5H6D8DJD3;H9H8C2D5CK
659---S6HJHAD3DA;D10H7C5D7C6
660---HJH4H5C2CJ;DJD9CKC6DK
662---C3H3DJD6CA;SQS6D8C5D9
665---H2DKDJC6D8;H4H3D3C5C3
667---H4C6D7C3D5;S5C5S8HKD9
673---S9C2D2SQDQ;H6C7D6D7D10
675---S5H9S9SJCQ;D10D5D3SQDK
680---S3H9HKH2CJ;D10H3DKC5C9
682---H5S6DAS7S2;H8C6H9S5CQ
686---D5S9S3C5DA;H7CQC10S6CA
687---HAC10S5S4H2;S10SJD9H6DA
694---S10HQC9D3D9;C3CQSQH7H6
698---C4SJDJS4C5;HJHKS8CQH4
703---H5S10D6HQCA;H6H9D10S8S7
704---D8HKH8C6S10;DAH7DKD10H10
705---HAD4D10SJDK;C7S9HQHKC10
706---D10C5D4H8H10;HQH5CKSKH2
707---D4S4H5D5H7;S10HJD9S7C7
708---D4HJS5H8S3;C10C2HQD6C9
709---D5CJH2DASQ;D4C2S9CADQ
713---CQSKC3C4D6;S6S2D10H8HA
716---H10DKS6DJC10;C9S4C7H8CA
717---H4DAH10S3SJ;D9S4HKH2D4
721---D7H5C5S3CA;H10HJD2S8SQ
728---C2HJS7DQC6;H4S10H7C7S6
729---C6C2S3H9DA;D4S6SQS4H2
730---S7DAC4SQD10;S10D8C10H9CA
743---DQHKH2C2H8;SKD10D8CJDK
744---D3H3C10DAD10;H5S10H8H7D4
745---S5CQHASQD6;H6S10SKC9S9
746---S5C8DKC4H8;CKC5SKC9HA
748---S10D3DJSJDA;DQS9C9C8S2
749---SKHJH8S8D6;CJC4D7H6D3
752---H2D10DJDKC10;H4CQH3S5C3
756---H6D8C5H10D5;CQSKD4DQD6
760---S5D7C7CJS6;C10CQDAHKD8
763---H8SQD8C10HK;S2C6D6C2HA
764---D5C4H2S9H9;C10SQH3C6DA
765---HJD5S3H2D4;S7D3C4H10S5
766---SQH5C4CQS9;S7H8H2CJC7
768---HKS10S7S5S4;H6S8CJH3C2
769---H5H10S5HACA;D4CJCQS6H6
770---HKS5D6SJHQ;H5DQD5H7C9
772---D10CJDACKHJ;H3H8C5C7HA
773---D4C8CJD7C5;D9H7H2S4S7
777---D3DJS2D9CQ;DQH5S3D6S10
778---H6DKD9D2D6;D7S6H3D10C8
781---H2C7D8D7S8;C6H4C4D10D2
782---C4S2H7H10S4;C9SKC7C8H5
783---H6S2S7H4D8;SQSJC3HKDQ
784---HKC5D8CKCQ;D7H10D9DKH3
787---HKD4S4CKS7;C3H4S10SJD10
790---H9CACQS9H8;D7C8C2H6S7
794---H9HQS7D5D7;S5S8H7S4HJ
796---H3HKS5D3CQ;HQS6CAC5HA
799---H7H9C4SJHK;SQC2S9S8HA
801---C5S6H10DASK;D10H3CJD5S8
803---H7C6D7SQS9;S5C7HQD8DK
809---H9DJD3S9H6;C9D7C3D8S6
811---D3CKS10H8H5;SJC10D9C7HA
813---S9D4D5C5H5;S7S3HKHAH10
819---HKH9DQD2D5;S2H10SJHJH2
822---H9CAS2HJDQ;S5C3C4C8D9
824---CAH7DAH4D7;S9DKC4D4S7
830---CQHAS6CAH10;CKC9SKS4H2
832---H6HAH8C10S5;D9DQS6D6S4
834---C10H9C5D8DK;DQCJH5D2SK
841---DAC5S9D4H3;DKDJC2S6CJ
843---HJD2D9HKCQ;H9S5S6D10C7
845---S9D6CQC4H5;SKDKH9C9DQ
848---H3H7H4C4D7;C6D6S7D8D9
849---S2DKCAH4D6;S9CKH5HAC9
852---H6CQD7D10H4;D5D8DQH5H2
853---C2HAC10S4SQ;C5S7D2H7D4
854---S3C3CJD8DK;SQHKH5H9SK
857---H10H6DJC9D2;D5D3C7C10C8
860---HJCQD2H10S4;C7S5C4DKH3
863---H6H9D7HQDA;H3SJH4D3C8
866---CKHADKD7DA;CQH4D6H6S4
867---H3CJH4H6SK;DKSJHQH7HJ
868---C3CKD10SJS9;H2H9C2S6D4
870---S7SQHJD5D7;DJD2C2D9S8
871---C10HAC2D2H10;S6H7H9HKH3
874---C9C3S5S4D9;C8H2SJS9H5
875---H2HAC5SQC10;C7D3DJH9C9
876---C5D2C8DAC2;D5S4H9CQH6
878---D6S3D4HAD9;SQC2D3H2S8
886---C7D5S9SQH9;D4H10D6S4C5
887---CKHAH10D5S5;S4DAH7H2D9
892---D2D10HAC3S9;C9H4D9SJC7
900---SJH10D9C7S9;S10S7S4C9S5
901---D2DQDKCASQ;S7H3S8HAH10
902---S10S2H9CQC6;D4DJS5SKDQ
905---HJD5D3H3HA;SQS5D7SJD2
906---C6C5CADKH6;H4S10D6S2HJ
907---S2C10S6H6D4;CJHAD8C2C7
910---D10H7C7H4DQ;SQCKH9HKC2
912---HJC10C5H2C4;S10C2S4CJCK
913---D3DAH10S10S8;H9D10DKC5H5
915---D5SJH7DQCJ;D8H5S6HKD9
916---C7DJS7H9C9;HJS9D4D2D10
917---D5D10H10HACK;SJH2S6S5C5
918---C2C9C6C10DQ;H8D7H3D3S7
921---D8H10C3H3C8;DJDQC9S6D5
924---S8S4C9CKH2;S10C4CQDKS3
926---DAHASJC4SQ;C9D10C6S7H8
927---S2S5HQDAC5;DKHAS3SKDJ
928---H8S9H7D7S10;HQC8D6C10D4
929---H6C4DAC3CK;D8DJS9SJHQ
930---C6D7CKS8S3;D8H3H6S6H7
935---HADASKHJHK;HQS4D9CKDQ
936---C8C9D10D8HQ;S7D3C5H3H4
937---H5D7S6D3S4;C5H3D2HJD4
938---C3H10C8H8DJ;C10S10H5CKHJ
939---C6S10C2C3H10;C10HAD8H4H2
940---D2C5S7SJSQ;C9S10C2S2S6
941---S5HKH5D2HA;SQCACJD9S4
948---C6CJC9D4CA;H9S4DQH7DJ
954---DAS8H10H7CA;D8C9C3H2H5
957---DJH5H7C8C3;S10DQH10S8S7
959---D8H8S9H6DK;H3C3S2C4SK
960---C2SQC7H4H2;D7CQD10S3HA
964---C10H4CKS8H9;S9C3DQS7SK
966---HAS8H3H6C8;C9H2H9HQDK
967---D7SQD9H10C9;D5SKS9CQDA
968---C4S2C7C8HA;S10DAS4H8D6
975---H4C8C7CKH2;C2DAD6D4SJ
976---C8DJCAH3DK;C4S4H5H2D7
978---D10S5S2D6HK;C6D4CJD5C9
979---SQDQH5C7D2;C9C5C6D4C8
980---SKDJC7S7D7;D3H9CAS9S8
982---D2HQS3CAH3;S7C8H7D6H4
983---S6S10HADKS9;HQD2D6S4S7
984---DAS2D5H3H10;S8CQHKSJD9
988---C9S4D4D5DJ;HJS2S6C3S9
989---HAH8D4S10D7;H6C3HKD3C9
990---HQHKH6D5DJ;C5SJH2C3S6
995---D2H5DKC2HK;DAC10H9H8S9
996---H2CQH9H4S3;D4HKS2SQC4
997---H3S8D6C10CQ;D10DKCJC6SK
998---CJS6DJS8D7;H5C2S9C3H8
999---S10HQH5CAS2;HJCQSQD3D7
1001---C10D7S6S2H7;D5HKC3D6H4
1002---D5C8SQDJS4;H7S2H8H3D2
1008---C6H2D3DQH10;D9S2SJD10S9
1009---DJD3D9C3D10;CJS5C4SQH8
1012---S3D5H4C2S4;H7SQH3DQH8
1014---C9D4D10SQC3;H8HQH7HKH2
1016---S6D6SQC7DK;HJHQD2DJD9
1017---C8H9H3DAH6;SJS7H8SKC5
1020---DKDQH3H8C6;HAC5S10HKSQ
1024---C3H9C8CQS3;HJH8H5D6C4
1026---H2CQS9C7D2;D9H6DKH7CK
1027---D4S10H3SJS4;S7SKS2HQC2
1028---D4C7C3S9HK;C4S3HJH3H7
1029---D3CQC4CAH8;H9H6D9HKC3
1030---C4C6CKS10H2;SJC5H3H6C9
1035---C7D2C8H10D8;C2H7H3C4S10
1036---D7H6CKC5SJ;D9SQD8HQS9
1037---C5H3C8CKS3;D8SJH8C10HA
1040---CKHKS7H6SK;H10H8D8S5D5
1046---S10C5D6C7S5;S8SJCQSQHQ
1050---H10D7S5S10HJ;H6CAD2C9HK
1055---C4DJC5S7H2;H7H5SKC9HQ
1063---C3S9C2C6HJ;CQD7HAH3DA
1066---C7D10D9H2H8;S2S9HJCQS8
1067---C4SJC8H7DK;H9C3C6C2S5
1069---D9CAC9CJC3;S3S2DQSQD10
1071---SQS4DKCKD3;D10D9DJC3D7
1072---D7H9D10DKC6;C5S6C9D4H3
1073---C5DKCAH9HJ;H7S8H6S5D3
1075---H4CQS10D3C2;HKD5DQH8CK
1076---D2S10SQH9S6;DKHQC6H3C2
1077---C5S8D8C3HJ;H10S7H7HKS3
1078---C2SKH6DAC3;S3CJS7HJS10
1079---C5C3C10D3CK;SKCQH10C8H6
1080---D6C4D2CKS9;S2HJD3DQDK
1082---C2H5C7S2SQ;C8H8D2C5S3
1083---S9S2HJD7CK;H6HACQC4C2
1084---HAD5C8H6H2;SQC4D4HQHK
1086---DKH2CKDADQ;C3C5S10D5S5
1087---S2DQD9H4CQ;D6S10SKS8D2
1089---D4H8S4HJS3;C6S7D10H4CK
1090---S3H8H10C3C10;H9S6C2S8D8
1091---H8HQCJC10H10;H2D5HAC4D7
1094---SJH9S2S3H10;H8C8DACAS5
1095---D8C4D6SKH9;S5C5C8C10CA
1097---S10H9CKC3H4;H7S3DJDKHJ
1100---S4S3H7D8C6;D10H9S6CJHK
1101---C6H4H5D10S2;D8H2S4H6HQ
1104---C7D6DADJCJ;H2H6H7H9S2
1105---CJHJHKS6C9;H6C5SQD8H7
1106---S5D4S4CQH3;S7C3DKSQD7
1108---S4CAHJDQC6;H5S7SKDAS9
1109---HAD8DQD5S10;D2DAH3C9S4
1111---DKDQD6C3S2;H6DADJD7S9
1113---C3H2DQH9CJ;H4HKDAC4SK
1116---CADQS3D5S8;SKC8H5D3DJ
1117---D7HKD2S5SK;DQD5S10C3S6
1121---H10C4D10H9D5;D2S9H7C6S5
1122---C3CAD4D8HQ;S5DKH5C4D5
1123---D6H10SJC2C6;CAC9CJS3D10
1125---D2C6C4DJS4;SJHAS3HQH6
1130---HKC9D7H2D10;HAC4C7C5S8
1133---HACAC7D3D4;HJHQH5H4H6
1143---H3C8H4CKS8;S5D2D7D8C5
1144---DJD4HJHKCK;C5S7S4S9SQ
1145---D10H4DAC3SJ;CKD3S10DQH8
1151---CQD5H3H5S10;D7SKD8C4C8
1156---S9HKD8S4SK;DJC10S6CAC4
1161---H4S4H3C6C5;D10C3DKH7C9
1164---CAD9C3DAD5;H9H6CKC8H7
1167---H5D6H3C10D8;CKS3C8S9C9
1168---C7DAD7S7H4;DQS5DJS6S2
1169---H3S2D8HAS4;H5D6H9DAS3
1176---HAH8H4SQH3;CQS8S7S2S9
1178---H5CQD3H2D6;H9D4D10D8S7
1181---H7S10D9C9H5;C6H3HKD10SJ
1183---D9C10C9SKH4;C4D5DAS9SQ
1187---S7S10C8CJC3;S6D5HAS9S8
1188---S2D10S5C6D2;D4CKH4H7C3
1190---H4D3SKC2C8;C4SQHJC3H3
1193---S2DKC10H9S10;DJD3CAHQD6
1196---C10C4CKS5C3;C8H7H3C6SQ
1199---H5S8DQHJH4;D5C2H6C10C4
1200---DJC5C7S7DA;D9H3H5D6D8
1205---C4S4H4C3H7;CAH8C9HQSQ
1206---D2S3H10DJS9;C6CKH2SQC10
1207---H10S5S10DQH7;D8DKD2D9CK
1208---S4D6H4C9C5;H9H5S2SKC3
1209---H4CADAS5DK;H7C10S4H2C8
1216---D6S8HKSJH4;D5DQS4CQHA
1217---S7HKS9S4C3;H5D8HJH10C2
1218---SQH2D4HKHQ;C3DJD9D7S9
1224---H4H8H3H2SJ;C5S7CAC4DQ
1225---S2CKHJH5C4;H2S5C3H8DJ
1231---D9SKSQDQS5;C6H4H9DJD10
1232---S10D5S7HADJ;H3H5D8C7D4
1242---S10H2C8D6D5;H7C3C6H10S6
1243---SKC5S2H10S5;D5H5SJS3DA
1249---C3H8C2SJH4;C8D7C5DQHJ
1251---D10CAS9C8DJ;S10C3H5DKH2
1252---CQC2H2D5D7;C4D4S2HKSJ
1255---HJD6H2DQH4;S4C5D10CKC6
1257---CAH6SQS2SK;SJD4HKC5H10
1263---C3S5C5S8D8;HKH10H5H4H9
1266---D10CACKS10D4;C8S5HKD7CJ
1270---CJS9C5S5SJ;CQD2S4C9C4
1271---C8H6D9CKD4;S3C2H9S6H8
1273---D9HACKC9D4;D7D3S7C2D10
1274---D2H10D3D8HQ;S4H5HADQH8
1276---H7H9C5H10D9;C4H5D4CAS4
1277---D10D8H2C2CQ;SJCKD7HADK
1279---DJS4D2C6SK;S8D6C2DKD7
1284---CAH3S2S10C3;D10SJD8D3CJ
1286---CJS7SQD10D6;D7D5C3S8DA
1290---C4D10D9C9D3;C6HAD2C10HK
1294---D9S7H7H8DJ;C10S4H2D4C3
1295---S8D9S3C9H5;H8D3DAD2HA
1297---S6HAD6S2H10;D9H8H6C8C2
1299---C3D3DAC4S5;CJHQS8H8SQ
1300---C6HAH5H6DQ;D9DAHKC3HQ
1301---H9D9SJS6DQ;C5D6C7C9H8
1302---C7C10H9H2HK;SKD4H3CAD9
1306---H9H10S3D5S10;S6S2C2D9SK
1308---S2C4S5S10CA;SQC9D8DAD6
1309---C5C2DAHKCQ;C7HADKH3D8
1310---D7D2CASJC7;H6S10D5D9H10
1313---CJHADJDKDA;H7CAS3C6HQ
1314---S8C3S2SKH8;C5C4H4HAD6
1315---H3H7S2C7C9;S6D10H10DJC10
1319---D10D7H9DJS5;CJCKSJC2H8
1321---S3D3CAC10S2;D4CJC6S5H8
1329---DAHJS2D6S6;C8HKCQS3DJ
1330---D5D7HQS9H8;H7S7C10H3S2
1335---HQD4D2S2C4;C8C2D10DKS6
1336---S3H9S4D6C7;C5C3H6D5H10
1339---CKH8D6CQC3;S7DACJC4H3
1340---C2S4S6D7H5;SQS7H6D4D5
1341---S10S6H9D4C3;SKH2DKH8H10
1354---DJCQS9D2H7;C10DAH2HKSJ
1356---HKD5D2S7S6;SJS8C2CAH10
1357---S8S2C7H8SJ;CAC4H10C5CJ
1359---D5S5H3H9D9;H8H10D10S9D7
1364---D2HQCQC2S2;S5H3CADQH9
1365---HQCQD7H6C10;DAHJH5D10H4
1366---D5DQHQHJC9;CKSKH7H3S8
1369---S3C4D5HKH3;HJS8S2H10D8
1370---S10H6H7DAHK;HAC10DKH9SJ
1371---S10S8S5S4HQ;C5SQS2H5DJ
1372---SJHJS3DAC4;S9D9D5S2CJ
1373---D10C4H2S7D3;S3S5CQS2SQ
1374---D3DKH3H2SK;S10D7CQD8H4
1379---HQCKHJH7D9;DJS5D7H3C4
1380---H5H10H3S9H6;C6C10D4HQC4
1381---D7C5C10S6D4;H2S5D2H10H5
1384---D6C8D4CJDK;S10H7HAH10HQ
1388---CKC9D7SKDA;C2D6H9H4D9
1391---C9S9SJC6S2;C5DJS5S8DA
1393---S2H10HJHQS10;D4HKD8D2CQ
1395---D7CASKD9H9;C9CJH6S9H4
1396---CQD8S8HJH6;C9C8DQD2HQ
1397---D3H10H6S3D9;H9C10C8SKS10
1399---S5S9S7H7DK;C5D9H3C6S10
1400---C7HAD8S8SK;S3SJC3H5D7
1401---C9C10D6D8D4;D5HKH9DAS4
1403---D8D4DAS10D10;C9S5D9H9C5
1410---H10C6S2SJC9;C4C10D3CJCQ
1412---S7HJC9S2DJ;S4C6D8SKH7
1413---D4D9DQS3HQ;D2C7CAC2HK
1414---C9SKS4DQC2;HQC3D4HKD3
1419---C9S2CQSQC2;HAC5DKH5S6
1422---H6S9CQDQD7;DKS3CAS2SQ
1425---S10S5CKD5C8;DQD9C10SKCA
1427---DKD8S8S9C9;H5CQCKH3HK
1430---CQH6C8DAD2;S7S8C5H5C3
1431---H5C9SJCKS7;C8D9H2D6DA
1436---S10DJC3D9HJ;DAH4SKS5H5
1441---S5C3C7C10H2;D6D7HAS7D8
1445---D8C7SKS3H4;H9H6D2C10H2
1450---D9S7SJC2HK;HJDJSKC8H9
1451---CJD3S9HKC2;D8DKD2HJDQ
1453---D5DKH9D6S2;D3S6H6C4H8
1454---D6H6H10DJH2;C4H9S2D5S3
1458---D5D2CAHJCK;C7H10C9D8H2
