4---C9D7D9S7D2;HAC5S8D8C10
291---SKC8CKHAH2;HJS10C5S8D6
293---D10S6H6H2D8;D6C6HQH10S3
294---S2D8S10C5S3;SKD7D10SJSQ
299---D4S6DJD10S4;S10HKH4H2S7
301---D5C10H4HAH3;DJCQC3C8S3
302---C4C5S9H4D6;D3S8D7H9HQ
306---C2D5D7H8C3;C8CQD10H4S10
307---H8C2C5S7S6;D8SKS3CAC10
315---H7C7H10D3DA;S3SJS5D6CJ
316---C6C5CAS9S10;D7C8D2C3H7
319---H3C6HQD2CA;S5H4C7C2H7
320---C7H7H6DJSK;H2DQH8D9C3
321---H8D4S8D6H7;D2S4DADQS6
322---S8H3H9DAHA;D7DQC2D5H6
323---S6S4C5DKS8;DJD9H10H6S3
329---SJD5C8S10S9;S7D4CJD7H8
331---D3D10DQD9D8;HAD6H9D2DK
333---C5D4DAH9HK;HQCAC8S8D3
342---CKH7HKDAC8;S4S5C3CJSQ
347---C5C9H9S2CK;H6S8CJD10S5
348---CKHQH3S9CJ;HAD6C2HKC3
350---D4D6CQH4D7;H8H10DJH7H6
354---D6C7C10C8S6;DJHAH6D8H7
356---C2H3H9SQDA;D8S5SKHQCK
357---SJS8S3DKS7;C6D10D9SKCK
360---S10S9SQCJDK;SKH8DQS8C9
362---D2CAH2C9D7;S2H5DQS7C4
364---S3C4D5S10CQ;D2S7H6HJC10
367---H8D10D2CKHA;CAHJH2H3C3
371---HQH8H10S2C10;CAS5S3HKCJ
373---S3C9H7D7D8;C10DQCAC2H10
374---D7SKC3H9H3;C6DQS2C8H5
375---C10S5CAH10SQ;HKD3C9S2HA
376---S9D5C8C7H5;H2D10H4D7D9
377---C10H10DQH2S6;S7SQD7S8D8
378---C5CADQS9CJ;H6C2DAD8H4
382---CQH2D6C4S7;D5HKCAS6C10
384---DQD8C9D7S10;H2C8DAS5D5
388---CJS9H2S2DA;C7H9H3H6D8
389---S6D2CJS4D6;S8SQH8HQS7
394---D9D7C8H5SQ;DJDKHJS6H10
399---S7S3CAD6C3;S5D10C10H3S8
405---C4C5S9C6H6;HAC7D8C2SJ
410---S2D2S9D7S6;CJS5DKC4C7
411---DJC10HJCJD10;C9S8C3S9S10
414---H3DJC5HQCK;H4HACAS10D5
418---C4HQS5C6CA;HKDASKH9C3
420---D3HKSQHJS2;C2D4S5H6D8
421---C3C9C10C7H7;H3H2S8C2S6
422---D4H5H3D2D6;S3DKC3SQDJ
423---S6H3H6H9DA;D4H7SKCAD10
424---D8HQSKD10D2;S6CADAD4CJ
429---C6S9C9HASQ;S10DAS8C10H5
431---H2S10SJS5DK;D9C7H9H8C9
433---S7S4D10D6S8;C2C5HASJH2
437---C10C7S2SJC4;H7CKDQH9C5
439---H6SQC10S2C4;DACKC2HAH8
440---C7D9H9D4S8;CAC6H10HQDK
443---D2HQH8C7CA;D9H5DAD10CJ
447---C10S3C7S8D5;C2DASKH2S6
452---C4S2HQC7C3;H10D3DJS5S6
453---HADKC9C2SQ;D7DQHJHQD4
454---D5D3DQS10SJ;D6H4S4S3C5
455---D2S3D4S5C4;SJDAC7DQH9
459---S9S7HJHADK;S6S5C10DJCQ
460---H6S2C4S5D4;H10D3DJH3C3
463---S6HQCJH7D7;C10D5DQS10SQ
467---C5H10D10C2S3;DQC4S6C9D2
471---S10H2DQD8DJ;CJC2S4H9CA
472---S5SKHAH3D6;C5H8C4D3CK
475---CJD5H4HKH7;D8C9HJS10C6
478---H2D2S6D4DK;CJS9D9D6SK
481---S10DQS2D6H4;S7S5H9D7S9
482---S4S8S6C5C9;C4D7SKCKD10
483---D3S3S7SJD5;HJS10DAH5C10
486---S3C6S10C3H9;H3D6C5D8D5
488---C9CKH10DQC10;S2HQH9HJCJ
490---S9HKC6H4CK;D9HADKC8SJ
491---D4S7C6HAS2;C8SJS8D10S9
494---H7H8S3H5S5;S2DJCAC6DA
497---CJD4S8H10H8;DASQC8S6CK
499---D9H8CKC7HA;H5DJD3SQS8
500---S3H4D2S5HA;CAD7S6CKD6
501---C7HQH10CQC10;HAS5D2D7DA
502---H4H5S5C9H6;H10S9HJSQC6
503---S10H2C3DJD5;S4C5D4HJH5
504---H4HJC6D9D8;CKDAS3CASK
505---CJD8SQS10HQ;S9D4S7SJS6
506---D10C8HQH4C7;D9C2SQD7S2
512---D2S2C6S10SK;DJS5C8S8C2
513---D8S8D7CKS5;D9SKC7D3H5
514---HJC6DJH10D8;C5S7C10D10H7
522---D4D9H10S10S6;HAC2C6HJSQ
523---DKD10C5D5H9;H2C3D9H8S9
524---C8S9CKC4D6;S4C5S3C9DA
528---CKH9H3C8H7;S2CAC5H2S3
529---D4H5HJSJC10;DJCJS9S3D9
530---C3CJD7C2D5;HAD8SJH10S8
535---D9CKH3S2C5;S5SQDAD7HJ
536---S2D10D5H8S10;S8HJH9C2C4
537---H2D9H8C6HJ;D3C8CKH4S7
538---H8HJH9D5SJ;D6D3C3S9S3
542---D3DKC9DACJ;D6D5HJD10CQ
546---S10H10D10CKS9;C3SJC4HJC10
548---S4H5H6S6C9;S8S3D4CAHA
551---CQCJDKS9HQ;S3D3CAHAC4
553---C10D9D10SQD7;CACQH6S4SJ
555---D10C6D2H8CA;D8SJSQC5CJ
560---H6D7S2DJD2;DAH8C9SJC6
562---H5S3S4C8DJ;C5C2H7HKD4
564---SKD6DQS10H9;C10C7H4S8H2
569---DQCKHJDJS8;D7HKC6H3C2
570---SQS10HJH5H6;C6C5D7SJCA
571---D5CJC10CAC9;D9C4HAC7C3
575---S10DKHQH9CA;D6SJC2D5D7
576---CKH3S4S3DK;C9S8C3CQS7
580---C9S9H8C3CA;D8H10SQC5H9
582---D5CQC5S8S6;S4D3CAH9C7
583---CAS5D2D6H4;H8D8DQH2D4
586---S7CKCQD10S2;H10H6S10S8S9
589---D2D8CQDJD9;H8D4CJS3H3
590---S6S8S5DJH3;H5H7CJDAD10
592---CJC10SQS6DQ;H5HAH7HQS10
593---DQHKD10H4H2;D6SJS10DJHQ
594---SKCAD8C2D4;DAC9D3C10CQ
597---D8S7S8D2H3;CASQDAC10S6
598---D4HAC9S4H2;H10HKCAH4S8
599---H4DQHQSQC2;SJDKC7H6CK
600---S10C3H5S5C10;D10H9D2SKHQ
602---S10CQS7H7C5;S8DJD3C10C8
604---H5D7S3HJC5;D4C6HAS9CJ
606---CJSJC2D10D5;DAS10S6S2C4
611---CKH9HKDKD6;H3S4C5HQD10
612---D6CJD9C4HA;S4C2HKH10S6
613---H7H4H3C6CJ;D6HKH6D8C4
615---HJHQDQS3DA;C2SJHKH7C4
616---HQH4S6HKD4;C7H8S9C2C6
619---D2C3S5S8DK;S4D6H7HKH10
620---S7D4HAH8HQ;C4H2DQCJS5
621---S4DQC4HQHJ;CQDAC10H3D9
622---H9S8S7S2S4;HKDKS3H5C5
625---CQH7S9DKCK;S8DJD8H3C4
627---D10C8SJCAS2;D4C7D2S5D3
629---S2H6H2D6S5;S7HJH7C7C10
631---D5H5S3S8D9;S10DKH9S6CA
632---C4S9S7DJC7;HJS10C3H6C9
636---C8H7D10C3S10;D6C4H8D3H4
638---D4D8D6C3SJ;H3D9H5H4DK
640---S3HAD10H6DQ;SQHKD3H5D5
642---D9H8HJC10S3;H3D4SJH4DQ
644---H3H2S2S10C7;D2CQH9HKC5
645---H8DKD5SJHA;C3S2S10H3D3
647---H4SJHKC2D4;D6SQCKH10C8
649---D9H5H7H6D2;SQC8C5H2CK
652---D7C3HKS10C9;SQHAD9H7D6
653---HJS5C4H2S8;D10C3S4D5H4
654---S9H6C8C10S6;CKHKS7H4D6
664---D8DQH9S3S5;S4SQD3C9H5
666---C4CQD10H7DK;HQDAD8H4C10
668---C8S9HKD3SJ;H5SQC10H2CA
671---DKHJC10C5H2;D10S10D6C8S9
676---C7C2DQH10SQ;C4C6C10HKC9
677---HJD10S4DKS5;C5H4D5C8CJ
679---D6HQH6C3S9;S5S4C5S2H7
684---H9D2C10C9DQ;H10S10H6S7H5
689---HQD9C3S2S7;HAS3H10D3D10
690---D4SJH4DQCK;D8C6S2C10S6
692---C6H10CKHJC10;H8SKS8C5H9
697---DQH8H6S10C4;CQS6DJC5D8
699---S7C7DAH2C10;D5S4CKD8D3
700---H10H6D5D8D2;SKH2S10H3D3
702---D10HQS10D5S2;D8D4H3C10HK
712---D6CKD8CJCQ;H9D4S5D9D3
714---SKS10H2D8H6;H3C8SQC3C10
715---D8DQS5H7CK;S2D4HAS9D6
720---D9DJC9D3H4;H6C5C2SKC6
723---S3S5H9CKH8;S6S7DQD9SJ
724---D5H2D10SQCQ;D6H5H9CKC6
732---DQD2DJS10CJ;C9D10DKC8D4
734---SKS9C5H2SJ;CJHAC3DAHQ
735---C3HJH6H4H10;H3S5S2D8D4
736---D2CAC9C7DA;SQH3H4HAH9
737---D7H9S8H3S3;S5H10D2S10C8
738---C6SJS8HAS6;DJC7DQD7D4
739---C6H9D9D6HJ;H2HQCKC5H6
740---SQCKHJS6H5;D6S5S10H2SK
741---D9SJC5H3S2;C4H5HQH6HA
742---H4S6C6S2H2;HADQC4CJH10
747---DJSQH2D2S8;S3HKD3C6CQ
750---DKD9C5DAC8;S6HQD6DQS10
751---CKD9D2CACQ;D3S3D7S5S4
754---H10C9C6S5D3;H2D2D8H7S9
755---HQHJC5H8SQ;D5C10D9H9HK
757---C6S9S3S7C10;D9H8H10DAD6
758---S6S2SKC2S7;C8S4C4CKD6
759---DQDKC2D4S7;H7S5HQH10D6
761---S9H7S6H6C5;CQC4CJH8H3
762---S5S9HAD5SQ;S7CQS3D2D10
771---D9H9S2D8HK;D10HQC6C8D2
774---H10S10CQCKDJ;H7HQS5HADK
775---D10DKH9S6H10;C3SQH6C8D8
776---D10H4DACQD4;C2C5D2C7C9
779---C5C10C2DQHQ;S2C8S6HKD7
780---HJDKH4S9D10;CJS6C5DACK
788---CQS10S7SKD2;D4C4C7SQD9
791---SJD10C3H8H9;H6CQCAS2H3
793---CJDJHJD3D6;C6C4D8H9HK
795---S6S3CKD3D4;H9HAHJS9D5
797---S9CQH10S8D7;H3C2D2H2S10
798---CQD2D5SQDA;H9HQH7D10S2
800---C7DJC3H5D3;S5HAC5S4H6
802---CAHAH9D10D4;D5CKS6H7SK
804---HAD4SJH5H10;DKSKS3S2H6
805---S6D2D9SJHA;H7D5D10D7D8
806---CKHKHQH10C3;HJC5C6C7D6
807---SJS7H9D10S2;C6DJD5H2H7
810---C2DQDKS9D9;D4H6DJH3H10
815---C4S5H10CACQ;D4SQC5H5H4
816---SJD5D2H5H10;S3H6S9C10CK
817---H3H4S3C6D3;D4S6DQC2DK
821---H10D8C8CAHA;D3CQC6S8H5
823---C2D10D6D9S2;H10H7DAH4C7
825---DQS5S6H6D5;S4C5S7DJC7
826---H5S8HJS7C8;C3DKD7SQD4
828---DKHQSQD10CA;S5HJS2D4SJ
829---HJC2DAH2S2;S5SJC4H9S8
831---S9H6D10D6H9;C7H2C9HQS2
835---C5D2S10D4S5;H5H3S4D9HJ
839---CKSJSKD5S7;S6H6HACAC7
842---S2HJH7C10SK;DKC5H2C8DA
844---C10H7CAD3S2;C3S8CQSQH3
847---HQCKH7S6C10;H5D6DQH8C3
851---C4C3DQD3H8;SJD6D7C10CK
855---H5C5CQSQD7;SJC3S10D3D9
858---H10DJS10C6H8;C3H9CJCQS5
859---H3C6HJHAS5;C7H5H6HQSK
869---CKD8SJS3S2;H4D4C4H9S4
872---D4SKC10S2H4;H8S8C8D6DK
873---D3DAHAH8H9;H3D10HQS6C9
877---HAD5D6H3S5;D9SKD2DKC5
879---S2D9H7DAH10;C6H2SKC4CK
880---H10DJS4D2SK;C2DKS8H9H6
881---S10S7DQSKC10;D6S8D2SQSJ
882---S3D10D5HQS2;H9D9D6C8S4
883---C2H8DAS8HA;D2SKH2S9S3
884---HKCAC2S7D9;C8C5HQHJD5
885---HQH8D8S8S9;S7H10H6H5DJ
891---C7D10D5CQD7;S6H2S10HJD6
895---S10DQH4DAC7;S3D4D5D9DJ
897---HJDKCJSJDJ;H10S6C6C5S3
898---H9C4H10S6D6;H2C3D8C2SJ
903---D7C4C2CAD3;D9C9S7C5CQ
908---H4DJH5SJC10;D8C7S7H10S3
909---C8DJCAH10HK;CJD4HAH5C4
911---DACQH9HKC6;C2C9S4S5C8
914---H3SQSJCJS8;D7D10H9D8DK
920---SQC10SJH8D5;CAD10C6D7D6
922---SJC6H9C5DJ;DACKS6CAHA
923---D3H8HAD5DQ;H2H10DKC4H3
931---SJH5H3C3D4;C10D3CKS6S9
932---D3S3D4CKC2;H4CJS4C4H9
933---D5H6S10D2H5;CKS5HJD6C5
942---HKD3SQHJD7;S3H2CQH6H3
944---D10DJH10HKH3;C8H9S4DQH5
945---DKC9S7S4C10;HAD8H3S5S6
946---D5H8S2CJD10;S4D7D6C7SJ
947---S9SKH9D8DA;SQC10H8D6HJ
952---S2D6S7C7H8;D9HQC6H6DQ
953---H7D7C5H5DJ;H2S2S7D8S8
955---C10DQDKC8H2;H3S9H9H7SQ
956---D3S2S5S3C3;CASKC2DQSJ
961---C2CKC5H8C8;SKS10C7C4D8
962---D4H10SKHACJ;DJSQS9D7S7
965---H7SJD6CQC5;H5SQS3C6SK
969---SQC7S5H8H4;C9S9CQS2DA
970---H10CKSJS3D10;HKCASKD7S4
971---D3S9DJHAS8;C10S6C8S3HK
973---S4DJSKCAH9;H4C9CJSJCQ
974---SKHACQS5DJ;D2S6SJHQDA
981---D6HKDQC3HJ;S6CAH5H7D3
985---H4D8D4HKD6;H6S5HQCKS3
986---D8S9S3H4CQ;SQS6C4C10H2
991---SJH4HKD5DK;CJH10DJDAD8
993---D9HJDKHKS6;H3H6S7SQS8
1000---SQH10S10C6DJ;S3CQC4SJS7
1004---DKH2HQD3C5;C6SQD9C2D10
1011---DJS7S3H7H2;CKD3DAD7SQ
1013---D8H8C8C5D7;D9H2C7CKS2
1015---DJD4S10S3DQ;H6D3H8CQC5
1019---C9S3HJCKD8;SQD2H9H8S9
1021---D6SJH8S5D5;C4S3CAH3H2
1032---CKD5C10SQD2;C2S10H7D7H6
1033---HASJH7C10D3;D8CQS9C9S5
1034---DJD10S10CJDQ;C6S7DAS2S3
1038---D10H7SJC10D8;H5CJH10S5C3
1039---H4D5H6DJD10;SQD7HAC8SK
1042---SJH6SQD5HJ;D9S10D2HKC4
1043---DQSKD6S4H10;H9D10CJC10C7
1044---S4DKD5CACK;DQHJCJC6S9
1045---H6S3DJHKDQ;H7D9CQD3D5
1047---HASQH10HQC8;D3S4D7H7C6
1049---S9S3H9S4D5;D8SKD4H10H3
1052---S4D9D8C8CJ;DKC7H5HKD5
1053---SKC2HAC7D9;C3C5S10H3DA
1056---H5C8C3C4C7;D5HJS3C10S8
1057---H5C5HKSQD10;S10C4S9S3SJ
1058---H4DQD2C3D3;S8S3D10CJH10
1059---H6H2D8HAS3;D6C8S5S2C3
1060---H4HQC6H6H3;D2C4C7S6D9
1061---HJC2H8HAC10;H10D9C5H9SQ
1062---D3D4H2S7C4;SKHJD5H3D8
1064---H8CQH6S3D9;S4C9HAH7DA
1065---HQHKSKS4DK;C10H2S5H9SQ
1070---S10CQHKD10D8;H2CJH6SKHA
1074---DAC4D9S10H5;H10C2D7HAH8
1088---D8D3C6CJS9;S5H3S4C9S10
1093---S6H5S4C10D5;D10S10S9D3S7
1098---C10DQH7H10D3;S4H2HQC3C5
1099---HKDAC9H4C5;S7H3H8S9S2
1102---C2S7C8SQS2;SKD2DJH3D10
1103---DQH6D2D6H10;S7HQS8D7H7
1107---C10C3S6S2S7;D8CKS4S3CJ
1110---D9H4C10HQS5;D3H7S9C2S7
1112---S8HJSQD2H10;DKH6H2S7C10
1115---C9S10HQD9HA;D4H4S5DQS6
1118---S9HJC2D10CJ;CQCAC3C10S8
1119---H7S10S2C8HQ;S4CAH5D8C5
1120---HJH10C6S10C5;H4CAD4C8SK
1124---SJH5SKCQCA;S4D6D3H2C10
1126---D8C7CKC6S6;H5H10C5S2D3
1128---S9C6DASQC9;S6D7D9D10D2
1131---D8CASQH5S9;C3D7H7C4D10
1132---H6H5C7C3SK;CJD3C6C2SQ
1134---S6C5D10SJDK;DAH2H10SQH3
1135---D7SJS3D3H3;S8CJH9C8C9
1136---S7C7DKSKDJ;H10CJDQS9S3
1138---SKS8S9C3S6;D2C9H10CADJ
1140---D10DJD7S9S4;CKS8S6C4HQ
1141---HAC4S7SQC6;C7DJH3CKS6
1142---H7S9DQSQHA;C5D3HQH4S3
1146---D3S2H8S9S8;C2C3D6H3CA
1149---S4C6HJH10C10;C5S10SQHAH5
1150---CQD4D8C8H7;SKS4S9C5S3
1155---H9S8SQS10C6;D8D6DJH3CK
1157---C2C5SJH3S7;S5C3CAD8CK
1158---D10S3DKD7H7;S10D9D8DQH4
1159---H8S9D4D8H5;C6SQD5HJHQ
1160---S6D6DJSKC9;DAD2H3S4SJ
1162---C5CADAD3H3;S3H10SQS6S8
1165---H2SQD10C8S10;S5C10H10S2D9
1166---D10CQH2CJD7;SKS6C2S10DJ
1170---C9S4S2C6D4;H2D5D2CJCK
1171---SKCJD2D8S4;CQH3HJH9D4
1172---H8DQDJS6HJ;S8H10D10D8CA
1173---D4C6CQS8H10;D2D6C2HAHJ
1174---DKC7H2S3S8;C2C4D10H7SJ
1175---H8D8DJHKD2;C10CKS8H4CQ
1177---H6CQDKDQD3;SKDAS4SJH2
1179---H5HJC9S8S7;C2D10C4SKSQ
1180---D2HQC2HKH6;C6D4DJH2SK
1184---H9SQD5SKS6;CJCAD3S7H3
1186---DKH7S9S8H2;C5C6C4C10DJ
1191---D8C10CJHQD2;C7S8S10SKH10
1192---SQC6H7SJS7;S6S2C5H10H4
1195---H6DKD6SJD4;H2C3S9H3D7
1201---SQHQCJD4DA;C2S8C4H10H7
1202---C6H7SQD4D10;C4S9DJD5D6
1203---S4D3S5S2HA;S6DJD5C6S10
1204---S10S8D8C8S2;DQSQC10DKD2
1210---H3DQH10DJS6;SKD4DKD8H5
1211---D6D7H7DJC6;DKC2D8CQS2
1212---SKC6C10D2H8;HKH6S5D3C7
1213---C8S5S6S9C10;S2HKC3HJD6
1214---CASQS3D7H6;HQC8S8H7H8
1219---H4C7CJS6HJ;C6H2D8CQS10
1221---CQCAC10S5SJ;H7S10DAD2HA
1228---D5CAS10S2S4;C8H10C4S5H4
1229---C4C9D5C6D3;HJCJHKSQC5
1234---H6CAS2S3S5;D5D8C8SKH9
1236---D4C10H7D7S3;DAS5DQDKD3
1237---H8H3S7DQC8;S2CQHQDAH2
1238---C7S9D6S2CQ;H3C5CAC9D7
1239---C5HAHJD9S3;SJS2S5H2CK
1240---S5CQS9S7C6;SKDAD10H3D3
1241---S4S2C8DJC4;D8D9D2HAH5
1244---S9H10D10H8HJ;C9SJHQHAS5
1247---D8D6D10S2S9;S4C8H7H3H2
1248---H10D10D3S4C3;DJD8D6SKH5
1250---S6S7HKC7SK;S8S10C3H10HA
1253---H4SJC5H7H8;D10D6CKS5S7
1254---C10D4S10H9H2;H8S3DKC5DQ
1259---S7SJH3D7H4;C7C8H6CADK
1260---D7S10S9H8DA;HAC6SKS7DQ
1261---HKC2D5S8S3;D3D9C5H3DK
1262---C9DJSJD6CQ;C7CKH7DAHK
1264---DAC5D2D4S2;D9D7CQSJH5
1267---S7H4CAHKH5;DQH2SKS4H10
1268---DQC4H3C10CK;D7H4C8HJC3
1272---HQD2C8S7CK;H7D6D10DKC2
1280---S5H3D9H7S6;D5C2HKH10HA
1281---H3C3D2D4S4;D8H9CAD9D5
1283---H2SQCJHKDJ;C10DAH10H3D4
1285---D9S10S7CKCQ;S4S6H2DAD3
1287---C8H6H3C9S6;H2C5S5D9CA
1291---CKDQC3C10H9;H3S5C6H8D10
1292---C2SQCQH6D10;D2C4D6CADK
1296---DKS10C10H5DQ;DJC6C3D4CQ
1298---CQH5C5D8SK;DAH3S3S8D3
1303---H2S3CJC5D3;HAHKS7H4D8
1311---HKC10CJCQD5;H5S3C9SJD9
1316---DAS8CKC2DK;D2HQC3CQD6
1318---CAHJCQDKSK;S4SJC8HQH7
1320---S7CKS8C9S5;D7S10D9C6D8
1322---SKS5H5DAH4;DJS6C9S2D6
1323---S9C3H7HQHK;D3S6S7H2D7
1326---D6D4C4C8H10;H4CAD7C6S3
1327---D2H8H5C4CA;D5D6D9DKC7
1331---D10H4D8H10H7;C9DKS6S2H6
1332---H4S5C10CJHK;C9S9SQC4H10
1333---SQD7HQDASK;H2D9C5C7CA
1334---C9DAHQH6CA;SQDKS10C6C7
1337---H7H6CQS4S10;H10DJC2H4S2
1338---C6DJHAH2D7;H10DAD6D10H8
1342---HQCQHADQS7;D2H4H10S5H9
1343---DJCKD2C7D10;H10H6C2H7D7
1344---HJD7C10H10SK;C9CQS9DQH3
1346---C10DJS3D7DQ;SKHKH5S4D4
1348---H3HJD7S7S6;S2H5S4HQH2
1349---HQS5S4CQH2;DAHAH7DKCJ
1350---CQHQC7C3C10;SKH7D9H6D7
1351---H7H3S2D4C3;C10S7H8SKDK
1358---C8C9S5D6C2;HJS8H5D5SK
1360---CKC2DAC9C8;C5CQHQS4H5
1363---C2CJH10C6D2;S5HQH3D9SJ
1368---C2C4HJS6C10;S2H4D6D2C7
1376---C9CJH2CQD3;H7D7H8D10HJ
1377---D10C6H8H5C2;C10S6CQD5H3
1378---S9SJC9S10HJ;C5D8CQC2C3
1382---H6S5SKH2S3;D6S8D10D9D3
1383---D4S4S10DAS6;HAC5D9D3C3
1386---H6C10DQD10DJ;SJCKS4C3S7
1387---CKC7S9DAH6;D2HQSKSQSJ
1389---D3HQS7DQH7;H6DAH2CQC3
1390---SJCAS8S10D2;C5HKC2SQS4
1392---C3C8CJDQD8;C2D5D6CQCK
1394---D10HKCQC9H7;D8D3S9D6SK
1398---D4H9S5D5HJ;HAD10DJH4D3
1402---CKDAC7D10S10;C2C8HQD4SQ
1404---H8S6H2H9D4;H6C6S2C10HQ
1407---H3D6C6D5HJ;C3DJD4S8H10
1409---D6S6D2DAC5;C2DJD5C10S7
1411---DQSJHQS4C6;S5C10H4CAHK
1417---H6CAH3H2H8;H7D2DJSQS6
1418---C9DKH10HQH3;D5C4CKDQS7
1426---DQH8S5H10HJ;H3CQDAD10H2
